Schema Element,TotalCount
http://bio2rdf.org/mgi_vocabulary:Strain,99
http://bio2rdf.org/mgi_vocabulary:Transgene,86
http://bio2rdf.org/mgi_vocabulary:allele,3024
http://bio2rdf.org/mgi_vocabulary:marker,3249
http://bio2rdf.org/ncbigene_vocabulary:Gene,44
http://bio2rdf.org/ncbigene_vocabulary:Gene-component-Association,11
http://bio2rdf.org/ncbigene_vocabulary:Gene-function-Association,12
http://bio2rdf.org/ncbigene_vocabulary:Gene-process-Association,13
http://bio2rdf.org/ncbigene_vocabulary:MiscRNA-Gene,33
http://bio2rdf.org/ncbigene_vocabulary:NcRNA-Gene,35
http://bio2rdf.org/ncbigene_vocabulary:Other-Gene,36
http://bio2rdf.org/ncbigene_vocabulary:Protein-coding-Gene,4
http://bio2rdf.org/ncbigene_vocabulary:Pseudo-Gene,40
http://bio2rdf.org/ncbigene_vocabulary:RRNA-Gene,31
http://bio2rdf.org/ncbigene_vocabulary:ScRNA-Gene,28
http://bio2rdf.org/ncbigene_vocabulary:SnRNA-Gene,34
http://bio2rdf.org/ncbigene_vocabulary:SnoRNA-Gene,38
http://bio2rdf.org/ncbigene_vocabulary:TRNA-Gene,28
http://bio2rdf.org/ncbigene_vocabulary:Unknown-Gene,39
http://bio2rdf.org/ncbigene_vocabulary:gene,5
http://bio2rdf.org/omim_vocabulary:Allelic-Variant,197
http://bio2rdf.org/omim_vocabulary:Characteristic,204
http://bio2rdf.org/omim_vocabulary:Clinical-Synopsis,237
http://bio2rdf.org/omim_vocabulary:Entity,163
http://bio2rdf.org/omim_vocabulary:Gene,10547
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,343
http://bio2rdf.org/omim_vocabulary:Phenotype,11377
http://bio2rdf.org/omim_vocabulary:Predominantly-phenotypes,246
http://bio2rdf.org/omim_vocabulary:characteristic-of,12
http://bio2rdf.org/omim_vocabulary:clinical-synopsis,658
http://bio2rdf.org/omim_vocabulary:feature,664
http://bio2rdf.org/omim_vocabulary:mimNumber,5
http://bio2rdf.org/omim_vocabulary:phenotype-map,3
http://bio2rdf.org/omim_vocabulary:phenotypeMimNumber,3
http://bio2rdf.org/omim_vocabulary:refers-to,169
http://bio2rdf.org/omim_vocabulary:variant,129
http://bio2rdf.org/omim_vocabulary:x-omim,67
http://bio2rdf.org/pharmgkb_vocabulary:Disease,237
http://bio2rdf.org/pharmgkb_vocabulary:Drug,150
http://bio2rdf.org/pharmgkb_vocabulary:Gene,60
http://bio2rdf.org/pharmgkb_vocabulary:disease,324
http://bio2rdf.org/pharmgkb_vocabulary:disease-gene-Association,6
http://bio2rdf.org/pharmgkb_vocabulary:drug,2208
http://bio2rdf.org/pharmgkb_vocabulary:drug-gene-Association,4
http://bio2rdf.org/pharmgkb_vocabulary:drug-haplotype-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:gene,1651
http://bio2rdf.org/pharmgkb_vocabulary:gene-disease-Association,1
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,16
http://bio2rdf.org/pharmgkb_vocabulary:gene-gene-Association,3
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-disease-Association,3
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-drug-Association,3
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation,38
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-disease-Association,2
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-drug-Association,1
http://bio2rdf.org/sgd_vocabulary:AlanineCount,442
http://bio2rdf.org/sgd_vocabulary:ArginineCount,445
http://bio2rdf.org/sgd_vocabulary:AromaticityScore,443
http://bio2rdf.org/sgd_vocabulary:AsparagineCount,444
http://bio2rdf.org/sgd_vocabulary:AspartateCount,445
http://bio2rdf.org/sgd_vocabulary:Chromosome,491
http://bio2rdf.org/sgd_vocabulary:CodonAdaptationIndex,319
http://bio2rdf.org/sgd_vocabulary:CodonBias,444
http://bio2rdf.org/sgd_vocabulary:Complex,443
http://bio2rdf.org/sgd_vocabulary:CrickStrand,488
http://bio2rdf.org/sgd_vocabulary:CysteinCount,444
http://bio2rdf.org/sgd_vocabulary:Domain-Alignment,112
http://bio2rdf.org/sgd_vocabulary:Enzyme,454
http://bio2rdf.org/sgd_vocabulary:FrequencyOfOptimalCodons,443
http://bio2rdf.org/sgd_vocabulary:GRAVYScore,444
http://bio2rdf.org/sgd_vocabulary:GlutamateCount,444
http://bio2rdf.org/sgd_vocabulary:GlutamineCount,443
http://bio2rdf.org/sgd_vocabulary:GlycineCount,444
http://bio2rdf.org/sgd_vocabulary:HistineCount,444
http://bio2rdf.org/sgd_vocabulary:IsolectricPoint,448
http://bio2rdf.org/sgd_vocabulary:IsoleucineCount,444
http://bio2rdf.org/sgd_vocabulary:LeucineCount,444
http://bio2rdf.org/sgd_vocabulary:Location,503
http://bio2rdf.org/sgd_vocabulary:LysineCount,445
http://bio2rdf.org/sgd_vocabulary:MethionineCount,442
http://bio2rdf.org/sgd_vocabulary:MolecularWeight,319
http://bio2rdf.org/sgd_vocabulary:Pathway,447
http://bio2rdf.org/sgd_vocabulary:Phenotype_Experiment,489
http://bio2rdf.org/sgd_vocabulary:PhenylalanineCount,443
http://bio2rdf.org/sgd_vocabulary:ProlineCount,445
http://bio2rdf.org/sgd_vocabulary:Protein,642
http://bio2rdf.org/sgd_vocabulary:RNA,465
http://bio2rdf.org/sgd_vocabulary:Reaction,444
http://bio2rdf.org/sgd_vocabulary:Record,500
http://bio2rdf.org/sgd_vocabulary:SequenceLength,445
http://bio2rdf.org/sgd_vocabulary:SerineCount,442
http://bio2rdf.org/sgd_vocabulary:SuperPathway,240
http://bio2rdf.org/sgd_vocabulary:ThreonineCount,444
http://bio2rdf.org/sgd_vocabulary:TryptophanCount,444
http://bio2rdf.org/sgd_vocabulary:TyrosineCount,445
http://bio2rdf.org/sgd_vocabulary:ValineCount,444
http://bio2rdf.org/sgd_vocabulary:chromosome,75
http://bio2rdf.org/sgd_vocabulary:has-participant,36
http://bio2rdf.org/sgd_vocabulary:has-proper-part,40
http://bio2rdf.org/sgd_vocabulary:is-proper-part-of,115
http://bio2rdf.org/sgd_vocabulary:query,7
http://bio2rdf.org/sgd_vocabulary:strand,66
http://bio2rdf.org/taxonomy_vocabulary:Division,67
http://bio2rdf.org/taxonomy_vocabulary:Embl-code,63
http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,85
http://bio2rdf.org/taxonomy_vocabulary:Rank,63
http://bio2rdf.org/wormbase_vocabulary:Asynthetic-Genetic-Interaction,56
http://bio2rdf.org/wormbase_vocabulary:Change_of_expression_level-Regulatory-Interaction,126
http://bio2rdf.org/wormbase_vocabulary:Change_of_localization-Regulatory-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Complete_suppression-Genetic-Interaction,126
http://bio2rdf.org/wormbase_vocabulary:Complete_unilateral_suppression-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Cosmid,125
http://bio2rdf.org/wormbase_vocabulary:Enhancement-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Epistasis-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Gene,144857
http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,22483
http://bio2rdf.org/wormbase_vocabulary:Gene-Phenotype-Association,22479
http://bio2rdf.org/wormbase_vocabulary:Gene-Variant,130
http://bio2rdf.org/wormbase_vocabulary:Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Maximal_epistasis-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Minimal_epistasis-Genetic-Interaction,56
http://bio2rdf.org/wormbase_vocabulary:Mutual_enhancement-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Mutual_suppression-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Negative-Gene-Phenotype-Association,137
http://bio2rdf.org/wormbase_vocabulary:Negative_genetic-Genetic-Interaction,126
http://bio2rdf.org/wormbase_vocabulary:Opposing_epistasis-Genetic-Interaction,126
http://bio2rdf.org/wormbase_vocabulary:Oversuppression_enhancement-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Partial_suppression-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Partial_unilateral_suppression-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Phenotype_bias-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Physical-Interaction,115
http://bio2rdf.org/wormbase_vocabulary:Publication,123
http://bio2rdf.org/wormbase_vocabulary:RNAi,126
http://bio2rdf.org/wormbase_vocabulary:RNAi-Knockdown-Experiment,22352
http://bio2rdf.org/wormbase_vocabulary:Regulatory-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Suppression-Genetic-Interaction,126
http://bio2rdf.org/wormbase_vocabulary:Synthetic-Genetic-Interaction,124
http://bio2rdf.org/wormbase_vocabulary:Unilateral_enhancement-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:Unilateral_suppression-Genetic-Interaction,125
http://bio2rdf.org/wormbase_vocabulary:associated-gene-variant,8
http://bio2rdf.org/wormbase_vocabulary:associated-rnai-knockdown-experiment,8
http://bio2rdf.org/wormbase_vocabulary:cosmid,5
http://bio2rdf.org/wormbase_vocabulary:gene,44705
http://bio2rdf.org/wormbase_vocabulary:genetically-interacts-with,5
http://bio2rdf.org/wormbase_vocabulary:involves,69
http://bio2rdf.org/wormbase_vocabulary:physically-interacts-with,5
http://bio2rdf.org/wormbase_vocabulary:publication,7
http://bio2rdf.org/wormbase_vocabulary:regulates,5
http://bio2rdf.org/wormbase_vocabulary:rnai,7
http://bio2rdf.org/wormbase_vocabulary:target-gene,22222
