Schema Element,TotalCount
http://bio2rdf.org/drugbank_vocabulary:Food-interaction,37
http://bio2rdf.org/drugbank_vocabulary:Ghose-Filter,39
http://bio2rdf.org/drugbank_vocabulary:Group,35
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Acceptor-Count,39
http://bio2rdf.org/drugbank_vocabulary:H-Bond-Donor-Count,39
http://bio2rdf.org/drugbank_vocabulary:Half-life,37
http://bio2rdf.org/drugbank_vocabulary:Hydrophobicity,35
http://bio2rdf.org/drugbank_vocabulary:IUPAC-Name,40
http://bio2rdf.org/drugbank_vocabulary:InChI,39
http://bio2rdf.org/drugbank_vocabulary:InChIKey,41
http://bio2rdf.org/drugbank_vocabulary:Indication,37
http://bio2rdf.org/drugbank_vocabulary:International-brand,33
http://bio2rdf.org/drugbank_vocabulary:Isoelectric-Point,39
http://bio2rdf.org/drugbank_vocabulary:LogP,45
http://bio2rdf.org/drugbank_vocabulary:LogS,46
http://bio2rdf.org/drugbank_vocabulary:MDDR-Like-Rule,39
http://bio2rdf.org/drugbank_vocabulary:Manufacturer,36
http://bio2rdf.org/drugbank_vocabulary:Mechanism-of-action,37
http://bio2rdf.org/drugbank_vocabulary:Melting-Point,41
http://bio2rdf.org/drugbank_vocabulary:Mixture,49
http://bio2rdf.org/drugbank_vocabulary:Molecular-Formula,45
http://bio2rdf.org/drugbank_vocabulary:Molecular-Weight,45
http://bio2rdf.org/drugbank_vocabulary:Monoisotopic-Weight,39
http://bio2rdf.org/drugbank_vocabulary:Name,40
http://bio2rdf.org/drugbank_vocabulary:Number-of-Rings,39
http://bio2rdf.org/drugbank_vocabulary:PKa,39
http://bio2rdf.org/drugbank_vocabulary:PKa-(strongest-acidic),39
http://bio2rdf.org/drugbank_vocabulary:PKa-(strongest-basic),39
http://bio2rdf.org/drugbank_vocabulary:Patent,51
http://bio2rdf.org/drugbank_vocabulary:Pharmaceutical,42
http://bio2rdf.org/drugbank_vocabulary:Pharmacodynamics,37
http://bio2rdf.org/drugbank_vocabulary:Physiological-Charge,39
http://bio2rdf.org/drugbank_vocabulary:Polar-Surface-Area-(PSA),39
http://bio2rdf.org/drugbank_vocabulary:Polarizability,39
http://bio2rdf.org/drugbank_vocabulary:Protein-binding,178
http://bio2rdf.org/drugbank_vocabulary:Refractivity,39
http://bio2rdf.org/drugbank_vocabulary:Rotatable-Bond-Count,39
http://bio2rdf.org/drugbank_vocabulary:Route-of-elimination,37
http://bio2rdf.org/drugbank_vocabulary:Rule-of-Five,39
http://bio2rdf.org/drugbank_vocabulary:SMILES,39
http://bio2rdf.org/drugbank_vocabulary:Salt,40
http://bio2rdf.org/drugbank_vocabulary:Small-molecule,307
http://bio2rdf.org/drugbank_vocabulary:Source,89
http://bio2rdf.org/drugbank_vocabulary:Synonym,42
http://bio2rdf.org/drugbank_vocabulary:Target,36997
http://bio2rdf.org/drugbank_vocabulary:Target-Relation,61
http://bio2rdf.org/drugbank_vocabulary:Toxicity,37
http://bio2rdf.org/drugbank_vocabulary:Traditional-IUPAC-Name,39
http://bio2rdf.org/drugbank_vocabulary:Transporter,103
http://bio2rdf.org/drugbank_vocabulary:Transporter-Relation,49
http://bio2rdf.org/drugbank_vocabulary:Unit,31
http://bio2rdf.org/drugbank_vocabulary:Volume-of-distribution,38
http://bio2rdf.org/drugbank_vocabulary:Water-Solubility,47
http://bio2rdf.org/drugbank_vocabulary:absorption,23
http://bio2rdf.org/drugbank_vocabulary:affected-organism,23
http://bio2rdf.org/drugbank_vocabulary:brand,31
http://bio2rdf.org/drugbank_vocabulary:calculated-properties,249
http://bio2rdf.org/drugbank_vocabulary:carrier,43
http://bio2rdf.org/drugbank_vocabulary:category,95
http://bio2rdf.org/drugbank_vocabulary:clearance,23
http://bio2rdf.org/drugbank_vocabulary:country,13
http://bio2rdf.org/drugbank_vocabulary:ddi-interactor-in,31
http://bio2rdf.org/drugbank_vocabulary:dosage,24
