class,instances
ChemicalElement,0
ChristianDoctrine,0
Cipher,0
ClericalOrder,0
CoalPit,0
Community,0
ControlledDesignationOfOriginWine,0
ConveyorSystem,0
CountrySeat,0
Covid19,0
CrossCountrySkier,0
CyclingCompetition,0
DBpedian,0
DTMRacer,0
Deanery,0
Decoration,0
Demographics,0
Depth,0
Deputy,0
Desert,0
DigitalCamera,0
Dike,0
Diploma,0
DisneyCharacter,0
District,0
DistrictWaterBoard,0
DocumentType,0
Dog,0
Egyptologist,0
ElectionDiagram,0
ElectricalSubstation,0
EmployersOrganisation,0
Escalator,0
Farmer,0
Fencer,0
File,0
FileSystem,0
Forest,0
FormulaOneRacing,0
Fort,0
GatedCommunity,0
GeneLocation,0
GeopoliticalOrganisation,0
Globularswarm,0
GovernmentCabinet,0
GovernmentType,0
GraveMonument,0
GrossDomesticProduct,0
GrossDomesticProductPerCapita,0
HighDiver,0
HistoricalAreaOfAuthority,0
HistoricalCountry,0
HistoricalDistrict,0
HistoricalProvince,0
HistoricalSettlement,0
HockeyClub,0
HumanGeneLocation,0
Humorist,0
Infrastucture,0
InternationalFootballLeagueEvent,0
InternationalOrganisation,0
Law,0
Lawyer,0
Lieutenant,0
LifeCycleEvent,0
LightNovel,0
LineOfFashion,0
Linguist,0
Lipid,0
List,0
LiteraryGenre,0
Lock,0
Man,0
Manor,0
MathematicalConcept,0
MemberResistanceMovement,0
Memorial,0
MicroRegion,0
MilitaryAircraft,0
MilitaryVehicle,0
Mine,0
Minister,0
MobilePhone,0
MotocycleRacer,0
MotorRace,0
MouseGene,0
MouseGeneLocation,0
MovieDirector,0
MovieGenre,0
MovingImage,0
MovingWalkway,0
MultiVolumePublication,0
MusicComposer,0
MusicDirector,0
NarutoCharacter,0
NationalSoccerClub,0
Nebula,0
NobelPrize,0
NordicCombined,0
OfficeHolder,0
OldTerritory,0
OlympicResult,0
On-SiteTransportation,0
Openswarm,0
Opera,0
PaintballLeague,0
Parish,0
PenaltyShootOut,0
PeriodOfArtisticStyle,0
PersonalEvent,0
PhilosophicalConcept,0
PlayWright,0
PoliticalConcept,0
PoliticianSpouse,0
Polysaccharide,0
PrehistoricalPeriod,0
Professor,0
Protocol,0
ProtohistoricalPeriod,0
Province,0
Psychologist,0
Quote,0
RadioControlledRacingLeague,0
RallyDriver,0
Rebellion,0
RecordOffice,0
Referee,0
Reference,0
Regency,0
Reign,0
Relationship,0
ReligiousOrganisation,0
RestArea,0
Resume,0
Robot,0
RocketEngine,0
RomanEmperor,0
RouteStop,0
SambaSchool,0
Satellite,0
ScientificConcept,0
Sculptor,0
Sculpture,0
SingleList,0
Ski_jumper,0
Skos,0
SoccerLeagueSeason,0
SpeedSkater,0
Spreadsheet,0
Standard,0
StarCluster,0
StatedResolution,0
StillImage,0
StormSurge,0
SubMunicipality,0
Surfer,0
Swarm,0
SystemOfLaw,0
Tank,0
TeamMember,0
TelevisionDirector,0
Temple,0
Territory,0
TheatreDirector,0
TheologicalConcept,0
TrackList,0
TrainCarriage,0
Tram,0
TramStation,0
Treaty,0
Type,0
UndergroundJournal,0
VaccinationStatistics,0
Vicar,0
VicePrimeMinister,0
Vodka,0
WaterPoloPlayer,0
WindMotor,0
Woman,0
WorkSequence,0
prov:Entity,0
prov:Revision,0
