Schema Element,kind
http://bio2rdf.org/ncbigene_vocabulary:ScRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:SnRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:SnoRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:TRNA-Gene,type
http://bio2rdf.org/ncbigene_vocabulary:Unknown-Gene,type
http://bio2rdf.org/ndc_vocabulary:Dosage-Form,type
http://bio2rdf.org/ndc_vocabulary:Ingredient,type
http://bio2rdf.org/ndc_vocabulary:Labeller,type
http://bio2rdf.org/ndc_vocabulary:Package,type
http://bio2rdf.org/ndc_vocabulary:Package-Component,type
http://bio2rdf.org/ndc_vocabulary:Pharmacological-Class,type
http://bio2rdf.org/ndc_vocabulary:Product,type
http://bio2rdf.org/ndc_vocabulary:Product-Type,type
http://bio2rdf.org/ndc_vocabulary:Route,type
http://bio2rdf.org/ndc_vocabulary:Substance,type
http://bio2rdf.org/ndc_vocabulary:Unit,type
http://bio2rdf.org/obo_vocabulary:Entity,type
http://bio2rdf.org/omim_vocabulary:Allelic-Variant,type
http://bio2rdf.org/omim_vocabulary:Characteristic,type
http://bio2rdf.org/omim_vocabulary:Clinical-Synopsis,type
http://bio2rdf.org/omim_vocabulary:Entity,type
http://bio2rdf.org/omim_vocabulary:Gene,type
http://bio2rdf.org/omim_vocabulary:Gene-phenotype,type
http://bio2rdf.org/omim_vocabulary:Phenotype,type
http://bio2rdf.org/omim_vocabulary:Phenotype-Map,type
http://bio2rdf.org/omim_vocabulary:Predominantly-phenotypes,type
http://bio2rdf.org/pharmgkb_vocabulary:Disease,type
http://bio2rdf.org/pharmgkb_vocabulary:Drug,type
http://bio2rdf.org/pharmgkb_vocabulary:Gene,type
http://bio2rdf.org/pharmgkb_vocabulary:Variation,type
http://bio2rdf.org/pharmgkb_vocabulary:disease-disease-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:disease-gene-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:disease-haplotype-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:disease-variantlocation-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:drug-drug-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:drug-gene-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:drug-haplotype-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:drug-variantlocation-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:gene-disease-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:gene-drug-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:gene-gene-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-disease-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:haplotype-drug-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-disease-Association,type
http://bio2rdf.org/pharmgkb_vocabulary:variantlocation-drug-Association,type
http://bio2rdf.org/sgd_vocabulary:AlanineCount,type
http://bio2rdf.org/sgd_vocabulary:ArginineCount,type
http://bio2rdf.org/sgd_vocabulary:AromaticityScore,type
http://bio2rdf.org/sgd_vocabulary:AsparagineCount,type
http://bio2rdf.org/sgd_vocabulary:AspartateCount,type
http://bio2rdf.org/sgd_vocabulary:Chromosome,type
http://bio2rdf.org/sgd_vocabulary:CodonAdaptationIndex,type
http://bio2rdf.org/sgd_vocabulary:CodonBias,type
http://bio2rdf.org/sgd_vocabulary:Complex,type
http://bio2rdf.org/sgd_vocabulary:CrickStrand,type
http://bio2rdf.org/sgd_vocabulary:CysteinCount,type
http://bio2rdf.org/sgd_vocabulary:Domain-Alignment,type
http://bio2rdf.org/sgd_vocabulary:Enzyme,type
http://bio2rdf.org/sgd_vocabulary:FrequencyOfOptimalCodons,type
http://bio2rdf.org/sgd_vocabulary:GRAVYScore,type
http://bio2rdf.org/sgd_vocabulary:GlutamateCount,type
http://bio2rdf.org/sgd_vocabulary:GlutamineCount,type
http://bio2rdf.org/sgd_vocabulary:GlycineCount,type
http://bio2rdf.org/sgd_vocabulary:HistineCount,type
http://bio2rdf.org/sgd_vocabulary:IsolectricPoint,type
http://bio2rdf.org/sgd_vocabulary:IsoleucineCount,type
http://bio2rdf.org/sgd_vocabulary:LeucineCount,type
http://bio2rdf.org/sgd_vocabulary:Location,type
http://bio2rdf.org/sgd_vocabulary:LysineCount,type
http://bio2rdf.org/sgd_vocabulary:MethionineCount,type
http://bio2rdf.org/sgd_vocabulary:MolecularWeight,type
http://bio2rdf.org/sgd_vocabulary:Pathway,type
http://bio2rdf.org/sgd_vocabulary:Phenotype_Experiment,type
http://bio2rdf.org/sgd_vocabulary:PhenylalanineCount,type
http://bio2rdf.org/sgd_vocabulary:ProlineCount,type
http://bio2rdf.org/sgd_vocabulary:Protein,type
http://bio2rdf.org/sgd_vocabulary:RNA,type
http://bio2rdf.org/sgd_vocabulary:Reaction,type
http://bio2rdf.org/sgd_vocabulary:Record,type
http://bio2rdf.org/sgd_vocabulary:SequenceLength,type
http://bio2rdf.org/sgd_vocabulary:SerineCount,type
http://bio2rdf.org/sgd_vocabulary:SuperPathway,type
http://bio2rdf.org/sgd_vocabulary:ThreonineCount,type
http://bio2rdf.org/sgd_vocabulary:TryptophanCount,type
http://bio2rdf.org/sgd_vocabulary:TyrosineCount,type
http://bio2rdf.org/sgd_vocabulary:ValineCount,type
http://bio2rdf.org/sider_vocabulary:Drug-Indication-Association,type
http://bio2rdf.org/sider_vocabulary:Side-Effect,type
http://bio2rdf.org/taxonomy_vocabulary:Division,type
http://bio2rdf.org/taxonomy_vocabulary:Embl-code,type
http://bio2rdf.org/taxonomy_vocabulary:Genetic-Code,type
http://bio2rdf.org/taxonomy_vocabulary:Rank,type
http://bio2rdf.org/wormbase_vocabulary:Asynthetic-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Change_of_expression_level-Regulatory-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Change_of_localization-Regulatory-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Complete_mutual_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Complete_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Complete_unilateral_suppression-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Cosmid,type
http://bio2rdf.org/wormbase_vocabulary:Enhancement-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Epistasis-Genetic-Interaction,type
http://bio2rdf.org/wormbase_vocabulary:Gene,type
http://bio2rdf.org/wormbase_vocabulary:Gene-GO-Association,type
