Class1,Predicate,Class2
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:CysteinCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:FrequencyOfOptimalCodons
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:GlutamineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:GlutamateCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:GlycineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:GRAVYScore
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:HistineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:IsoleucineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:LeucineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:LysineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:SequenceLength
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:MethionineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:MolecularWeight
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:PhenylalanineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:IsolectricPoint
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:ProlineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:SerineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:ThreonineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:TryptophanCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:TyrosineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-described-by,http://bio2rdf.org/sgd_vocabulary:ValineCount
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:component,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:function,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:process,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:experiment-type,http://bio2rdf.org/apo_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/so:0000236
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/so:0000336
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/so:0000830
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/so:0000180
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-participant,http://bio2rdf.org/sgd_vocabulary:Enzyme
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:mutant-type,http://bio2rdf.org/apo_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:observable,http://bio2rdf.org/apo_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:article,http://bio2rdf.org/pubmed_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:article,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:bait,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:bait,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:has-function,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:hit,http://bio2rdf.org/sgd_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:hit,http://bio2rdf.org/sgd_vocabulary:Protein
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-located-in,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:is-participant-in,http://bio2rdf.org/go_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:method,http://bio2rdf.org/apo_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:phenotype,http://bio2rdf.org/apo_vocabulary:Resource
http://bio2rdf.org/sgd_vocabulary:Resource,http://bio2rdf.org/sgd_vocabulary:qualifier,http://bio2rdf.org/apo_vocabulary:Resource
